,userId,movieId,title,tag,tagSentiment
0,474,3310,The Kid,orphans,4.957142857142857
1,474,8609,Our Hospitality,In Netflix queue,4.979
2,474,8235,Safety Last!,Clock,4.984999999999999
3,474,25753,Greed,gold,4.975
4,474,3629,The Gold Rush,mining,5.296
5,474,8275,College,In Netflix queue,4.979
6,474,3306,The Circus,big top,5.093333333333334
7,474,3306,The Circus,circus,5.0075
8,474,8424,The Divorcee,divorce,4.922857142857143
9,474,3307,City Lights,blind,5.116
10,474,2648,Frankenstein,In Netflix queue,4.979
11,474,8228,The Maltese Falcon,heist,5.064
12,474,976,A Farewell to Arms,Hemingway,5.005
13,474,8507,Freaks,circus,5.0075
14,474,7091,Horse Feathers,Marx brothers,4.845882352941176
15,474,7049,Flying Down to Rio,Astaire and Rogers,4.969090909090909
16,474,3932,The Invisible Man,invisibility,5.68625
17,474,907,The Gay Divorcee,divorce,4.922857142857143
18,474,905,It Happened One Night,Screwball,5.026000000000001
19,474,950,The Thin Man,Nick and Nora Charles,5.0539130434782615
20,474,32160,Twentieth Century,In Netflix queue,4.979
21,474,6020,Alice Adams,class,5.054285714285714
22,474,8167,Captain Blood,swashbuckler,4.992857142857143
23,474,1931,Mutiny on the Bounty,ships,5.134285714285714
24,474,7132,A Night at the Opera,Marx brothers,4.845882352941176
25,474,7132,A Night at the Opera,opera,4.952
26,474,7053,Roberta,Astaire and Rogers,4.969090909090909
27,474,6984,A Tale of Two Cities,Dickens,5.033333333333333
28,474,945,Top Hat,Astaire and Rogers,4.969090909090909
29,474,7834,After the Thin Man,Nick and Nora Charles,5.0539130434782615
30,474,7050,Follow the Fleet,Astaire and Rogers,4.969090909090909
31,474,25825,Fury,revenge,4.744615384615385
32,474,3462,Modern Times,factory,4.805714285714286
33,474,947,My Man Godfrey,butler,4.996666666666667
34,474,947,My Man Godfrey,homeless,4.928333333333333
35,474,947,My Man Godfrey,screwball,5.027272727272727
36,474,7055,Swing Time,Astaire and Rogers,4.969090909090909
37,474,6254,The Awful Truth,screwball,5.027272727272727
38,474,3447,The Good Earth,Pearl S Buck,5.034285714285715
39,474,944,Lost Horizon,Shangri-La,5.135555555555555
40,567,8335,Make Way for Tomorrow,heartbreaking,4.953684210526316
41,474,1066,Shall We Dance,Astaire and Rogers,4.969090909090909
42,474,594,Snow White and the Seven Dwarfs,Disney,4.996
43,474,25841,Stage Door,show business,5.045
44,474,940,The Adventures of Robin Hood,swashbuckler,4.992857142857143
45,474,955,Bringing Up Baby,leopard,4.965714285714285
46,474,955,Bringing Up Baby,screwball,5.027272727272727
47,357,7078,Jezebel,Bette Davis,4.925
48,357,7078,Jezebel,Oscar (Best Actress),4.91030303030303
49,474,7831,Another Thin Man,Nick and Nora Charles,5.0539130434782615
50,474,7061,Dark Victory,terminal illness,5.153103448275862
51,474,920,Gone with the Wind,Civil War,5.455
52,474,7079,The Hunchback of Notre Dame,disability,5.4825
53,474,954,Mr. Smith Goes to Washington,Politics,5.388888888888889
54,474,936,Ninotchka,Cold War,4.996
55,474,936,Ninotchka,Russia,5.262857142857143
56,474,25855,The Roaring Twenties,In Netflix queue,4.979
57,474,919,The Wizard of Oz,Dorothy,4.8425
58,474,919,The Wizard of Oz,Toto,4.936
59,474,927,The Women,divorce,4.922857142857143
60,474,929,Foreign Correspondent,Europe,5.008
61,474,929,Foreign Correspondent,journalism,5.1659999999999995
62,474,929,Foreign Correspondent,war,4.960000000000001
63,474,3095,The Grapes of Wrath,depression,4.95
64,474,3095,The Grapes of Wrath,dust bowl,5.0075
65,474,1281,The Great Dictator,Nazis,5.32
66,474,951,His Girl Friday,Screwball,5.026000000000001
67,474,25865,The Letter,In Netflix queue,4.979
68,474,941,The Mark of Zorro,swashbuckler,4.992857142857143
69,474,898,The Philadelphia Story,divorce,4.922857142857143
70,474,596,Pinocchio,Disney,4.996
71,474,928,Rebecca,Mrs. DeWinter,4.885
72,474,3097,The Shop Around the Corner,remade,4.835
73,474,7219,They Drive by Night,truckers,4.894
74,474,923,Citizen Kane,Rosebud,4.966666666666667
75,474,1029,Dumbo,Disney,4.996
76,474,2935,The Lady Eve,gambling,5.0920000000000005
77,474,4801,The Little Foxes,family,5.1033333333333335
78,474,913,The Maltese Falcon,statue,4.984999999999999
79,474,973,Meet John Doe,journalism,5.1659999999999995
80,474,956,Penny Serenade,adoption,5.044
81,474,7833,Shadow of the Thin Man,Nick and Nora Charles,5.0539130434782615
82,474,2206,Suspicion,paranoia,5.192857142857143
83,474,6912,You'll Never Get Rich,Rita Hayworth can dance!,5.014444444444445
84,474,912,Casablanca,start of a beautiful friendship,5.092881355932204
85,474,7713,Cat People,sexuality,5.106666666666666
86,474,4920,"Now, Voyager",psychology,4.827142857142857
87,474,2937,The Palm Beach Story,screwball,5.027272727272727
88,474,25886,Random Harvest,made me cry,4.849230769230769
89,474,6228,The Talk of the Town,In Netflix queue,4.979
90,474,8765,This Gun for Hire,In Netflix queue,4.979
91,474,7584,Woman of the Year,Hepburn and Tracy,4.915789473684211
92,474,7584,Woman of the Year,marriage,5.06
93,474,6856,Yankee Doodle Dandy,biopic,5.404999999999999
94,474,2203,Shadow of a Doubt,small towns,5.075714285714286
95,474,7479,Watch on the Rhine,World War II,4.915
96,474,1269,Arsenic and Old Lace,murder,4.8925
97,474,3435,Double Indemnity,Insurance,4.928
98,474,906,Gaslight,Brooch,4.8742857142857146
99,474,2202,Lifeboat,survival,5.042
100,474,918,Meet Me in St. Louis,1900s,5.04
101,474,7059,National Velvet,horses,4.9275
102,474,4969,And Then There Were None,In Netflix queue,4.979
103,474,1938,The Lost Weekend,alcoholism,5.122857142857143
104,474,2612,Mildred Pierce,motherhood,4.886666666666666
105,474,931,Spellbound,amnesia,5.168888888888889
106,474,7832,The Thin Man Goes Home,Nick and Nora Charles,5.0539130434782615
107,474,1284,The Big Sleep,Hammett,4.956
108,474,2940,Gilda,nightclub,5.073333333333333
109,474,953,It's a Wonderful Life,Christmas,5.08
110,474,930,Notorious,assassination,5.158857142857143
111,474,7728,The Postman Always Rings Twice,adultery,4.9475
112,474,5601,The Yearling,Animal movie,5.257142857142857
113,474,4184,The Bishop's Wife,Christmas,5.08
114,474,1068,Crossfire,anti-Semitism,5.366666666666666
115,474,7217,Dark Passage,amnesia,5.168888888888889
116,474,1940,Gentleman's Agreement,anti-Semitism,5.366666666666666
117,474,1940,Gentleman's Agreement,Judaism,5.249999999999999
118,474,943,The Ghost and Mrs. Muir,ghosts,4.9625
119,474,25940,The Lady from Shanghai,mirrors,4.923076923076923
120,474,2066,Out of the Past,memory,4.897499999999999
121,474,7835,Song of the Thin Man,Nick and Nora Charles,5.0539130434782615
122,474,32371,Call Northside 777,In Netflix queue,4.979
123,474,31030,I Remember Mama,motherhood,4.886666666666666
124,474,8463,Johnny Belinda,deafness,4.871666666666666
125,474,7070,Red River,cattle drive,4.902666666666666
126,474,1254,The Treasure of the Sierra Madre,Cold,4.986666666666667
127,474,7121,Adam's Rib,Hepburn and Tracy,4.915789473684211
128,474,1942,All the King's Men,Huey Long,4.906666666666667
129,474,1942,All the King's Men,In Netflix queue,4.979
130,474,1942,All the King's Men,Robert Penn Warren,4.798709677419355
131,474,7212,I Was a Male War Bride,cross dressing,4.982962962962964
132,474,7212,I Was a Male War Bride,men in drag,4.969090909090909
133,474,25952,A Letter to Three Wives,In Netflix queue,4.979
134,474,8446,Sands of Iwo Jima,World War II,4.915
135,474,926,All About Eve,Hollywood,4.98875
136,474,3341,Born Yesterday,remade,4.835
137,474,1022,Cinderella,Disney,4.996
138,474,934,Father of the Bride,wedding,4.904444444444445
139,474,6273,In a Lonely Place,L.A.,
140,474,969,The African Queen,missionary,5.227142857142858
141,474,1032,Alice in Wonderland,Disney,4.996
142,474,900,An American in Paris,France,4.851999999999999
143,474,1253,The Day the Earth Stood Still,aliens,5.170000000000001
144,474,3475,A Place in the Sun,class,5.054285714285714
145,474,6181,The Red Badge of Courage,Civil War,5.455
146,474,6181,The Red Badge of Courage,Stephen Crane,4.804444444444444
147,474,2186,Strangers on a Train,murder,4.8925
148,474,1104,A Streetcar Named Desire,Tennessee Williams,5.006666666666667
149,474,2660,The Thing from Another World,aliens,5.170000000000001
150,474,5114,The Bad and the Beautiful,movie business,5.120869565217391
151,474,8875,"Come Back, Little Sheba",alcoholism,5.122857142857143
152,474,8875,"Come Back, Little Sheba",marriage,5.06
153,474,1283,High Noon,gunfight,5.03
154,474,3559,Limelight,In Netflix queue,4.979
155,474,7705,Pat and Mike,Hepburn and Tracy,4.915789473684211
156,474,7705,Pat and Mike,sports,4.9750000000000005
157,474,899,Singin' in the Rain,movie business,5.120869565217391
158,474,970,Beat the Devil,crime,5.036
159,474,4356,Gentlemen Prefer Blondes,In Netflix queue,4.979
160,474,2939,Niagara,In Netflix queue,4.979
161,474,916,Roman Holiday,Italy,4.960000000000001
162,474,916,Roman Holiday,royalty,4.78
163,573,2662,The War of the Worlds,classic,5.036363636363636
164,474,8337,The Caine Mutiny,military,5.336
165,474,8920,The Country Girl,Oscar (Best Actress),4.91030303030303
166,474,1945,On the Waterfront,boxing,5.066666666666667
167,474,1945,On the Waterfront,coulda been a contender,4.84
168,474,904,Rear Window,voyeurism,5.015555555555555
169,477,904,Rear Window,imdb top 250,5.057142857142857
170,477,904,Rear Window,James Stewart,4.93375
171,477,904,Rear Window,mystery,4.706666666666667
172,477,904,Rear Window,photographer,4.907
173,477,904,Rear Window,photography,4.915294117647059
174,474,915,Sabrina,rich guy - poor girl,5.042222222222222
175,474,6785,Seven Brides for Seven Brothers,Lonesome Polecat,4.8839999999999995
176,474,3675,White Christmas,Christmas,5.08
177,474,8094,Bad Day at Black Rock,In Netflix queue,4.979
178,474,3549,Guys and Dolls,Gambling,5.1571428571428575
179,474,2080,Lady and the Tramp,Disney,4.996
180,474,7013,The Night of the Hunter,good and evil,4.953333333333333
181,474,7614,Oklahoma!,Rogers and Hammerstein,4.93
182,474,1103,Rebel Without a Cause,1950s,5.04
183,474,1103,Rebel Without a Cause,adolescence,4.807368421052631
184,474,4359,The Seven Year Itch,adultery,4.9475
185,474,6516,Anastasia,In Netflix queue,4.979
186,474,2967,The Bad Seed,evil children,5.12
187,474,1301,Forbidden Planet,Shakespeare sort of,4.896666666666666
188,474,1301,Forbidden Planet,space,4.952
189,474,4046,Friendly Persuasion,Quakers,5.05
190,474,948,Giant,oil,5.386666666666667
191,474,2664,Invasion of the Body Snatchers,1950s,5.04
192,474,2726,The Killing,heist,5.064
193,474,2565,The King and I,Siam,5.406666666666666
194,474,8153,Lust for Life,Van Gogh,4.952
195,474,1203,12 Angry Men,court,4.96
196,567,1203,12 Angry Men,claustrophobic,4.997777777777778
197,567,1203,12 Angry Men,confrontational,4.956774193548388
198,567,1203,12 Angry Men,earnest,4.844444444444445
199,567,1203,12 Angry Men,good dialogue,4.998181818181818
200,567,1203,12 Angry Men,great screenplay,4.8688
201,567,1203,12 Angry Men,gritty,4.9350000000000005
202,567,1203,12 Angry Men,Motivational,5.189473684210526
203,567,1203,12 Angry Men,thought-provoking,4.954285714285715
204,474,6970,Desk Set,Hepburn and Tracy,4.915789473684211
205,474,1178,Paths of Glory,court,4.96
206,474,1178,Paths of Glory,military,5.336
207,474,6390,Silk Stockings,Ninotchka remake,4.986
208,474,7493,The Three Faces of Eve,multiple personalities,5.187111111111111
209,474,5008,Witness for the Prosecution,Agatha Christie,5.134
210,474,5008,Witness for the Prosecution,court,4.96
211,474,3548,Auntie Mame,1920s,5.04
212,474,971,Cat on a Hot Tin Roof,Tennessee Williams,5.006666666666667
213,474,4998,The Defiant Ones,racism,5.123333333333334
214,474,938,Gigi,prostitution,5.104545454545454
215,474,903,Vertigo,falling,5.1866666666666665
216,477,903,Vertigo,Alfred Hitchcock,4.840000000000001
217,477,903,Vertigo,Atmospheric,4.9879999999999995
218,477,903,Vertigo,imdb top 250,5.057142857142857
219,477,903,Vertigo,James Stewart,4.93375
220,474,3801,Anatomy of a Murder,court,4.96
221,474,6031,Imitation of Life,motherhood,4.886666666666666
222,474,6031,Imitation of Life,race,4.859999999999999
223,474,908,North by Northwest,Mount Rushmore,5.065333333333332
224,477,908,North by Northwest,Alfred Hitchcock,4.840000000000001
225,477,908,North by Northwest,imdb top 250,5.057142857142857
226,474,910,Some Like It Hot,men in drag,4.969090909090909
227,474,909,The Apartment,adultery,4.9475
228,474,4190,Elmer Gantry,preacher,4.816666666666666
229,474,4190,Elmer Gantry,religion,5.318
230,474,3469,Inherit the Wind,court,4.96
231,474,3469,Inherit the Wind,evolution,5.054545454545454
232,474,3469,Inherit the Wind,religion,5.318
233,424,1219,Psycho,Alfred Hitchcock,4.840000000000001
234,424,1219,Psycho,psychology,4.827142857142857
235,424,1219,Psycho,suspenseful,5.053333333333334
236,424,1219,Psycho,tense,4.797142857142857
237,474,1219,Psycho,Norman Bates,5.016363636363637
238,477,1219,Psycho,Alfred Hitchcock,4.840000000000001
239,477,1219,Psycho,black and white,5.030666666666667
240,477,1219,Psycho,imdb top 250,5.057142857142857
241,477,1219,Psycho,remade,4.835
242,474,2728,Spartacus,crucifixion,5.353684210526316
243,474,2728,Spartacus,Rome,4.913333333333333
244,474,2728,Spartacus,slavery,4.885714285714286
245,474,902,Breakfast at Tiffany's,Capote,4.964
246,474,3468,The Hustler,pool,5.03
247,474,6579,"One, Two, Three",Japan,5.14
248,474,1013,The Parent Trap,twins,5.095999999999999
249,474,3330,Splendor in the Grass,adolescence,4.807368421052631
250,474,3330,Splendor in the Grass,sexuality,5.106666666666666
251,474,1947,West Side Story,Gangs,5.01
252,474,7062,Birdman of Alcatraz,birds,5.06
253,474,7062,Birdman of Alcatraz,prison,5.096666666666667
254,474,1344,Cape Fear,lawyer,4.8933333333333335
255,474,4263,Days of Wine and Roses,alcoholism,5.122857142857143
256,474,1204,Lawrence of Arabia,Middle East,4.992
257,474,1267,The Manchurian Candidate,assassination,5.158857142857143
258,474,1267,The Manchurian Candidate,brainwashing,5.176666666666667
259,474,26085,Mutiny on the Bounty,Not available from Netflix,5.09906976744186
260,474,1207,To Kill a Mockingbird,Harper Lee,4.793333333333333
261,474,1207,To Kill a Mockingbird,racism,5.123333333333334
262,474,3546,What Ever Happened to Baby Jane?,show business,5.045
263,474,1333,The Birds,birds,5.06
264,474,911,Charade,heist,5.064
265,474,1262,The Great Escape,POW,
266,474,2550,The Haunting,ghosts,4.9625
267,474,6662,The Pink Panther,Clousseau,5.203333333333333
268,474,1025,The Sword in the Stone,Disney,4.996
269,474,1025,The Sword in the Stone,King Arthur,4.996
270,474,8190,The Americanization of Emily,In Netflix queue,4.979
271,435,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,dark comedy,4.8183333333333325
272,474,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Atomic bomb,4.993333333333334
273,477,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,black comedy,4.8538461538461535
274,477,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,dark comedy,4.8183333333333325
275,477,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,satire,5.09
276,513,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,purity of essence,4.885217391304347
277,513,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Slim Pickens,5.3
278,567,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,black comedy,4.8538461538461535
279,567,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,dark comedy,4.8183333333333325
280,567,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Quirky,5.140000000000001
281,474,1028,Mary Poppins,Disney,4.996
282,474,1028,Mary Poppins,nanny,4.827272727272727
283,474,914,My Fair Lady,George Bernard Shaw,4.841428571428572
284,474,7073,A Shot in the Dark,Clousseau,5.203333333333333
285,474,5802,The World of Henry Orient,teenagers,4.809333333333333
286,474,6178,A Patch of Blue,blind,5.116
287,474,6178,A Patch of Blue,blindness,4.993846153846154
288,474,6178,A Patch of Blue,race,4.859999999999999
